key,title,group,description,asset_rel,asset_exists,file_size_kb,dimensions,dimension_status,overview_control,overview_overlay,overview_source,map_control,map_overlay,map_source,animation_control,animation_overlay,animation_source,diagnostic,verdict,notes
scenario_envelope,Scenario max-depth envelope,Flood results,Maximum depth envelope from all 18 scenarios.,assets/maps/scenario_envelope_overlay.png,yes,108.0,1700x1916,matches base,yes,yes,assets/maps/scenario_envelope_overlay.png,yes,yes,assets/maps/scenario_envelope_overlay.png,no,no,,,PASS,wired and dimensionally aligned
administrative,Municipal boundary and wards,Administrative,Municipal boundary and 71 revenue wards.,assets/maps/styled/administrative_styled.png,yes,249.9,1700x1916,matches base,yes,yes,assets/maps/styled/administrative_styled.png,yes,yes,assets/maps/styled/administrative_styled.png,yes,yes,assets/maps/styled/administrative_styled.png,,PASS,wired and dimensionally aligned
roads,Road network,Urban fabric,Local road network from source shapefile.,assets/maps/styled/roads_styled.png,yes,799.1,1700x1916,matches base,yes,yes,assets/maps/styled/roads_styled.png,yes,yes,assets/maps/styled/roads_styled.png,yes,yes,assets/maps/styled/roads_styled.png,,PASS,wired and dimensionally aligned
buildings_tum_gba,Building footprints (TUM GlobalBuildingAtlas),Urban fabric,TUM GlobalBuildingAtlas LoD1 building polygons clipped to Vijayawada municipal boundary.,assets/maps/styled/buildings_tum_gba_styled.png,yes,1207.6,1700x1916,matches base,yes,yes,assets/maps/styled/buildings_tum_gba_styled.png,yes,yes,assets/maps/styled/buildings_tum_gba_styled.png,yes,yes,assets/maps/styled/buildings_tum_gba_styled.png,,PASS,wired and dimensionally aligned
green_open_space,Green and pervious open areas,Land surface,"Tree cover, shrub/grass, cropland, sparse pervious and wetland cells from the surface-physics classification.",assets/maps/green_open_space.png,yes,71.6,1700x1916,matches base,yes,yes,assets/maps/green_open_space.png,yes,yes,assets/maps/green_open_space.png,yes,yes,assets/maps/green_open_space.png,,PASS,wired and dimensionally aligned
drainage,Drainage network,Drainage,Mapped drainage links used for 1D-drainage readiness and sink sensitivity.,assets/maps/styled/drainage_styled.png,yes,771.7,1700x1916,matches base,yes,yes,assets/maps/styled/drainage_styled.png,yes,yes,assets/maps/styled/drainage_styled.png,yes,yes,assets/maps/styled/drainage_styled.png,,PASS,wired and dimensionally aligned
manholes,Manholes,Drainage,Mapped manhole inventory.,assets/maps/styled/manholes_styled.png,yes,220.6,1700x1916,matches base,yes,yes,assets/maps/styled/manholes_styled.png,yes,yes,assets/maps/styled/manholes_styled.png,no,no,,,PASS,wired and dimensionally aligned
waterbodies,"Krishna, reservoir and Budameru water bodies",Water system,Local waterbody polygons.,assets/maps/waterbodies.png,yes,234.7,1700x1916,matches base,yes,yes,assets/maps/waterbodies.png,yes,yes,assets/maps/waterbodies.png,yes,yes,assets/maps/waterbodies.png,,PASS,wired and dimensionally aligned
canals_budameru,Major canals and extended Budameru,Water system,OSM canal review alignments plus extended Budameru rivulet/canal.,assets/maps/styled/canals_budameru_styled.png,yes,60.3,1700x1916,matches base,yes,yes,assets/maps/styled/canals_budameru_styled.png,yes,yes,assets/maps/styled/canals_budameru_styled.png,yes,yes,assets/maps/styled/canals_budameru_styled.png,,PASS,wired and dimensionally aligned
flow_arrows,Major flow arrows (direction of flow),Water system,"Major flow arrows from the identified flow-direction review layer. Fixed-size arrowheads mark flow direction, including the upper and lower Krishna branches plus Budameru and major canals.",assets/maps/flow_arrows_identified.svg,yes,12.7,1700x1916,matches base,yes,yes,assets/maps/flow_arrows_identified.svg,yes,yes,assets/maps/flow_arrows_identified.svg,yes,yes,assets/maps/flow_arrows_identified.svg,"FD arrows=12, KRF arrows=0",PASS,wired and dimensionally aligned
budameru_breach_susceptibility,Budameru breach susceptibility,Water system,Budameru breach-susceptibility review layer for boundary and inflow-risk context.,assets/maps/budameru_breach_susceptibility.png,yes,47.7,1700x1916,matches base,yes,yes,assets/maps/budameru_breach_susceptibility.png,yes,yes,assets/maps/budameru_breach_susceptibility.png,no,no,,,PASS,wired and dimensionally aligned
pumps_outfalls,"Pumps, outfalls and exchange points",Coupling,"Drainage pumps, candidate outfalls and FloodRESQ exchange points.",assets/maps/styled/pumps_outfalls_styled.png,yes,44.4,1700x1916,matches base,yes,yes,assets/maps/styled/pumps_outfalls_styled.png,yes,yes,assets/maps/styled/pumps_outfalls_styled.png,yes,yes,assets/maps/styled/pumps_outfalls_styled.png,,PASS,wired and dimensionally aligned
pump_connectors,Pump connection review lines,Coupling,Pump-to-drain and pump-to-waterbody provisional connectors.,assets/maps/styled/pump_connectors_styled.png,yes,31.1,1700x1916,matches base,yes,yes,assets/maps/styled/pump_connectors_styled.png,yes,yes,assets/maps/styled/pump_connectors_styled.png,yes,yes,assets/maps/styled/pump_connectors_styled.png,,PASS,wired and dimensionally aligned
mesh_refinement,FloodRESQ domain and adaptive refinement zones,Model setup,"2D computation domain plus river, canal, pump, drainage and high-exposure urban refinement zones.",assets/maps/styled/mesh_refinement_styled.png,yes,916.9,1700x1916,matches base,yes,yes,assets/maps/styled/mesh_refinement_styled.png,yes,yes,assets/maps/styled/mesh_refinement_styled.png,no,no,,,PASS,wired and dimensionally aligned
lulc_proxy,"LULC proxy: buildings, roads, drainage and water",Land surface,"Proxy land-surface classes from TUM buildings, road network, drainage corridors and merged waterbodies.",assets/maps/lulc_proxy.png,yes,1136.4,1700x1916,matches base,yes,yes,assets/maps/lulc_proxy.png,yes,yes,assets/maps/lulc_proxy.png,no,no,,,PASS,wired and dimensionally aligned
terrain_dem,DEM/DTM model surface,Terrain / Hydroconditioning,20 m clipped DEM/DTM model surface. Current source is DEM_VMB with domain gaps filled for modeling continuity.,assets/maps/terrain_dem.png,yes,645.0,1700x1916,matches base,yes,yes,assets/maps/terrain_dem.png,yes,yes,assets/maps/terrain_dem.png,no,no,,,PASS,wired and dimensionally aligned
terrain_hillshade,Terrain hillshade,Terrain / Hydroconditioning,Hillshade derived from the gap-filled 20 m terrain surface.,assets/maps/terrain_hillshade.png,yes,272.7,1700x1916,matches base,yes,yes,assets/maps/terrain_hillshade.png,yes,yes,assets/maps/terrain_hillshade.png,no,no,,,PASS,wired and dimensionally aligned
terrain_slope,Slope / local relief,Terrain / Hydroconditioning,"Slope derivative used to review terrain gradients, levee-like breaks and flow-path sensitivity.",assets/maps/terrain_slope.png,yes,1263.2,1700x1916,matches base,yes,yes,assets/maps/terrain_slope.png,yes,yes,assets/maps/terrain_slope.png,no,no,,,PASS,wired and dimensionally aligned
hydroconditioned_dem_delta,Hydroconditioned DEM burn-in,Terrain / Hydroconditioning,"Draft burn-in from merged waterbodies, major canals, Budameru and drainage corridors.",assets/maps/hydroconditioned_dem_delta.png,yes,696.9,1700x1916,matches base,yes,yes,assets/maps/hydroconditioned_dem_delta.png,yes,yes,assets/maps/hydroconditioned_dem_delta.png,no,no,,,PASS,wired and dimensionally aligned
domain_continuity,Domain continuity QA,Model setup,"DEM validity, filled model-surface continuity, hydro-corridor connectivity and Budameru boundary point.",assets/maps/domain_continuity.png,yes,928.2,1700x1916,matches base,yes,yes,assets/maps/domain_continuity.png,yes,yes,assets/maps/domain_continuity.png,no,no,,,PASS,wired and dimensionally aligned
physics_surface_class,Manning/LULC surface partition,Physics inputs,"Surface classes used to assign roughness, infiltration and obstruction behavior.",assets/maps/physics_surface_class.svg,yes,2931.1,1700x1916,matches base,yes,yes,assets/maps/physics_surface_class.svg,yes,yes,assets/maps/physics_surface_class.svg,no,no,,,PASS,wired and dimensionally aligned
spatial_manning_n,Spatial Manning n roughness,Physics inputs,"Manning n raster applied in the FloodRESQ run, including roads, buildings, vegetation, water and open corridors.",assets/maps/spatial_manning_n.png,yes,142.7,1700x1916,matches base,yes,yes,assets/maps/spatial_manning_n.png,yes,yes,assets/maps/spatial_manning_n.png,no,no,,,PASS,wired and dimensionally aligned
infiltration_capacity,Infiltration capacity,Physics inputs,Spatial infiltration-capacity proxy derived from hydrologic-soil-group proxy and land-surface class.,assets/maps/infiltration_capacity.png,yes,113.6,1700x1916,matches base,yes,yes,assets/maps/infiltration_capacity.png,yes,yes,assets/maps/infiltration_capacity.png,no,no,,,PASS,wired and dimensionally aligned
soil_hydrologic_group_proxy,Hydrologic soil group proxy,Physics inputs,Hydrologic soil groups represented as a replaceable proxy until authoritative soil classification is added.,assets/maps/soil_hydrologic_group_proxy.png,yes,87.4,1700x1916,matches base,yes,yes,assets/maps/soil_hydrologic_group_proxy.png,yes,yes,assets/maps/soil_hydrologic_group_proxy.png,no,no,,,PASS,wired and dimensionally aligned
building_obstruction_fraction,Building obstruction fraction,Physics inputs,Rasterized building-footprint fraction used for building obstruction and high roughness.,assets/maps/building_obstruction_fraction.png,yes,142.9,1700x1916,matches base,yes,yes,assets/maps/building_obstruction_fraction.png,yes,yes,assets/maps/building_obstruction_fraction.png,no,no,,,PASS,wired and dimensionally aligned
conditioned_hydraulic_terrain,Conditioned hydraulic terrain,Physics inputs,Hydroconditioned terrain surface used by the current physics-enabled run.,assets/maps/conditioned_hydraulic_terrain.png,yes,195.4,1700x1916,matches base,yes,yes,assets/maps/conditioned_hydraulic_terrain.png,yes,yes,assets/maps/conditioned_hydraulic_terrain.png,no,no,,,PASS,wired and dimensionally aligned
rtgs_hotspots,RTGS AWARE flood hotspots and NRSC inflow boundary,RTGS AWARE,Target symbols for top modeled flood hotspots and the Budameru NRSC inflow boundary condition point.,assets/maps/styled/rtgs_aware_hotspots_styled.png,yes,31.1,1700x1916,matches base,yes,yes,assets/maps/styled/rtgs_aware_hotspots_styled.png,yes,yes,assets/maps/styled/rtgs_aware_hotspots_styled.png,yes,yes,assets/maps/styled/rtgs_aware_hotspots_styled.png,,PASS,wired and dimensionally aligned
urban_ward_routine,Ward-level response routine,RTGS AWARE,Ward-scale review layer for operational response prioritization.,assets/maps/urban_ward_routine.png,yes,1683.1,1700x1916,matches base,yes,yes,assets/maps/urban_ward_routine.png,yes,yes,assets/maps/urban_ward_routine.png,no,no,,,PASS,wired and dimensionally aligned
boundary_hydrographs,Boundary hydrographs and stage templates,Boundary forcing,Boundary inflow and river/canal stage targets; shown as a chart panel on Overview.,assets/maps/boundary_hydrographs.svg,yes,20.4,1700x1916,matches base,yes,yes,assets/maps/boundary_hydrographs.svg,yes,yes,assets/maps/boundary_hydrographs.svg,no,no,,,PASS,wired and dimensionally aligned
